stock_decision,name,slug,sku,brand_slug,category_slug,shortDescription,description,price,compareAtPrice,costPrice,stockStatus,stockQuantity,lowStockAlert,isFeatured,isActive,image_url,image_alt,metaTitle,metaDescription,metaKeywords,source_list_url,memory_type,speed,latency,capacity,voltage,other_features,color,ram_features,warranty
STOCK,Kingston FURY Beast 8GB 3200MHz DDR4 Desktop RAM,kingston-fury-beast-8gb-3200mhz-ddr4-desktop-ram,RAM-KINGSTON-FURY-BEAST-8GB-3200MHZ-DDR4,kingston,desktop-ram,Kingston FURY Beast 8GB 3200MHz DDR4 Desktop RAM - fill your own short pitch before publish.,,8300,8400,,IN_STOCK,0,5,false,true,/uploads/ram/kingston-fury-beast-8gb-3200mhz-ddr4-desktop-ram.jpg,Kingston FURY Beast 8GB 3200MHz DDR4 Desktop RAM,Buy Kingston FURY Beast 8GB 3200MHz DDR4 Desktop RAM in Bangladesh | LogicBay BD,Kingston FURY Beast 8GB 3200MHz DDR4 Desktop RAM. Check price and warranty at LogicBay BD.,"desktop ram, kingston, ddr4, 8gb, 3200 mhz",https://www.startech.com.bd/kingston-fury-beast-8gb-3200mhz-ddr4-desktop-ram,DDR4,3200 MHz,,8GB,,,,,Lifetime
STOCK,Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM,corsair-vengeance-lpx-8gb-3200mhz-ddr4-desktop-ram,RAM-CORSAIR-VENGEANCE-LPX-8GB-3200MHZ-DDR4,corsair,desktop-ram,Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM - fill your own short pitch before publish.,,8500,8999,,IN_STOCK,0,5,false,true,/uploads/ram/corsair-vengeance-lpx-8gb-3200mhz-ddr4-desktop-ram.png,Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM,Buy Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM in Bangladesh | LogicBay BD,Corsair Vengeance LPX 8GB 3200MHz DDR4 Desktop RAM. Check price and warranty at LogicBay BD.,"desktop ram, corsair, ddr4, 8gb, 3200 mhz",https://www.startech.com.bd/corsair-vengeance-lpx-8gb-3200mhz,DDR4,3200 MHz,,8GB,,,,,Lifetime
STOCK,G.SKILL Aegis 8GB DDR4 3200Mhz Desktop RAM,g-skill-aegis-8gb-ddr4-3200mhz-desktop-ram,RAM-GSKILL-G-SKILL-AEGIS-8GB-DDR4-3200MHZ,g-skill,desktop-ram,G.SKILL Aegis 8GB DDR4 3200Mhz Desktop RAM - fill your own short pitch before publish.,,8000,,,IN_STOCK,0,5,false,true,/uploads/ram/g-skill-aegis-8gb-ddr4-3200mhz-desktop-ram.webp,G.SKILL Aegis 8GB DDR4 3200Mhz Desktop RAM,Buy G.SKILL Aegis 8GB DDR4 3200Mhz Desktop RAM in Bangladesh | LogicBay BD,G.SKILL Aegis 8GB DDR4 3200Mhz Desktop RAM. Check price and warranty at LogicBay BD.,"desktop ram, g-skill, ddr4, 8gb, 3200 mhz",https://www.startech.com.bd/g-skill-aegis-8gb-ddr4-3200mhz-desktop-ram,DDR4,3200 MHz,,8GB,,,,,Lifetime
STOCK,Team T-Force VULCAN Z Red 8GB DDR4 3200MHz Desktop Gaming RAM,team-t-force-vulcan-z-red-8gb-ddr4-3200mhz-desktop-gaming-ram,RAM-TEAM-T-FORCE-VULCAN-Z-RED-8GB-DDR4-3200M,team,desktop-ram,Team T-Force VULCAN Z Red 8GB DDR4 3200MHz Desktop Gaming RAM - fill your own short pitch before publish.,,8500,,,IN_STOCK,0,5,false,true,/uploads/ram/team-t-force-vulcan-z-red-8gb-ddr4-3200mhz-desktop-gaming-ram.jpg,Team T-Force VULCAN Z Red 8GB DDR4 3200MHz Desktop Gaming RAM,Buy Team T-Force VULCAN Z Red 8GB DDR4 3200MHz Desktop Gaming RAM in Bangladesh | LogicBay BD,Team T-Force VULCAN Z Red 8GB DDR4 3200MHz Desktop Gaming RAM. Check price and warranty at LogicBay BD.,"desktop ram, team, ddr4, 8gb, 3200 mhz",https://www.startech.com.bd/team-t-force-vulcan-z-red-8gb-ddr4-3200mhz-ram,DDR4,3200 MHz,,8GB,,,Red,,Lifetime
STOCK,Adata 8GB DDR5 5600MHz CL46 U-DIMM Desktop RAM,adata-8gb-ddr5-5600mhz-cl46-u-dimm-desktop-ram,RAM-ADATA-8GB-DDR5-5600MHZ-CL46-U-DIMM,adata,desktop-ram,Adata 8GB DDR5 5600MHz CL46 U-DIMM Desktop RAM - fill your own short pitch before publish.,,17200,,,IN_STOCK,0,5,false,true,/uploads/ram/adata-8gb-ddr5-5600mhz-cl46-u-dimm-desktop-ram.webp,Adata 8GB DDR5 5600MHz CL46 U-DIMM Desktop RAM,Buy Adata 8GB DDR5 5600MHz CL46 U-DIMM Desktop RAM in Bangladesh | LogicBay BD,Adata 8GB DDR5 5600MHz CL46 U-DIMM Desktop RAM. Check price and warranty at LogicBay BD.,"desktop ram, adata, ddr5, 8gb, 5600 mhz",https://www.startech.com.bd/adata-8gb-ddr5-5600mhz-desktop-ram,DDR5,5600 MHz,,8GB,,,,,Lifetime
STOCK,Lexar THOR 8GB DDR4 3200Mhz UDIMM Desktop RAM,lexar-thor-8gb-ddr4-3200mhz-udimm-desktop-ram,RAM-LEXAR-THOR-8GB-DDR4-3200MHZ-UDIMM,lexar,desktop-ram,Lexar THOR 8GB DDR4 3200Mhz UDIMM Desktop RAM - fill your own short pitch before publish.,,11500,,,IN_STOCK,0,5,false,true,/uploads/ram/lexar-thor-8gb-ddr4-3200mhz-udimm-desktop-ram.webp,Lexar THOR 8GB DDR4 3200Mhz UDIMM Desktop RAM,Buy Lexar THOR 8GB DDR4 3200Mhz UDIMM Desktop RAM in Bangladesh | LogicBay BD,Lexar THOR 8GB DDR4 3200Mhz UDIMM Desktop RAM. Check price and warranty at LogicBay BD.,"desktop ram, lexar, ddr4, 8gb, 3200 mhz",https://www.startech.com.bd/lexar-thor-8gb-ddr4-3200mhz-ram,DDR4,3200 MHz,,8GB,,,,,Lifetime
STOCK,PNY XLR8 16GB DDR4 3200MHz Desktop Gaming RAM,pny-xlr8-16gb-ddr4-3200mhz-desktop-gaming-ram,RAM-PNY-XLR8-16GB-DDR4-3200MHZ-GAMING,pny,desktop-ram,PNY XLR8 16GB DDR4 3200MHz Desktop Gaming RAM - fill your own short pitch before publish.,,16000,,,IN_STOCK,0,5,false,true,/uploads/ram/pny-xlr8-16gb-ddr4-3200mhz-desktop-gaming-ram.jpg,PNY XLR8 16GB DDR4 3200MHz Desktop Gaming RAM,Buy PNY XLR8 16GB DDR4 3200MHz Desktop Gaming RAM in Bangladesh | LogicBay BD,PNY XLR8 16GB DDR4 3200MHz Desktop Gaming RAM. Check price and warranty at LogicBay BD.,"desktop ram, pny, ddr4, 16gb, 3200 mhz",https://www.startech.com.bd/pny-xlr8-16gb-desktop-gaming-ram,DDR4,3200 MHz,,16GB,,,,,Lifetime
STOCK,TwinMOS VOLTX 16GB DDR5 6000MHz Desktop RAM,twinmos-voltx-16gb-ddr5-6000mhz-desktop-ram,RAM-TWINMOS-VOLTX-16GB-DDR5-6000MHZ,twinmos,desktop-ram,TwinMOS VOLTX 16GB DDR5 6000MHz Desktop RAM - fill your own short pitch before publish.,,10000,,,IN_STOCK,0,5,false,true,/uploads/ram/twinmos-voltx-16gb-ddr5-6000mhz-desktop-ram.webp,TwinMOS VOLTX 16GB DDR5 6000MHz Desktop RAM,Buy TwinMOS VOLTX 16GB DDR5 6000MHz Desktop RAM in Bangladesh | LogicBay BD,TwinMOS VOLTX 16GB DDR5 6000MHz Desktop RAM. Check price and warranty at LogicBay BD.,"desktop ram, twinmos, ddr5, 16gb, 6000 mhz",https://www.startech.com.bd/twinmos-voltx-16gb-ram,DDR5,6000 MHz,,16GB,,,,,Lifetime
STOCK,Netac Basic DDR3 8GB 1600MHZ Desktop RAM,netac-basic-ddr3-8gb-1600mhz-desktop-ram,RAM-NETAC-BASIC-DDR3-8GB-1600MHZ,netac,desktop-ram,Netac Basic DDR3 8GB 1600MHZ Desktop RAM - fill your own short pitch before publish.,,2800,3900,,IN_STOCK,0,5,false,true,/uploads/ram/netac-basic-ddr3-8gb-1600mhz-desktop-ram.webp,Netac Basic DDR3 8GB 1600MHZ Desktop RAM,Buy Netac Basic DDR3 8GB 1600MHZ Desktop RAM in Bangladesh | LogicBay BD,Netac Basic DDR3 8GB 1600MHZ Desktop RAM. Check price and warranty at LogicBay BD.,"desktop ram, netac, ddr3, 8gb, 1600 mhz",https://www.startech.com.bd/netac-basic-ddr3-8gb-1600mhz-desktop-ram,DDR3,1600 MHz,,8GB,,,,,Lifetime
STOCK,OCPC X3 RGB DDR4 3200MHz 8GB Desktop RAM,ocpc-x3-rgb-ddr4-3200mhz-8gb-desktop-ram,RAM-OCPC-X3-RGB-DDR4-3200MHZ-8GB,ocpc,desktop-ram,OCPC X3 RGB DDR4 3200MHz 8GB Desktop RAM - fill your own short pitch before publish.,,7900,,,IN_STOCK,0,5,false,true,/uploads/ram/ocpc-x3-rgb-ddr4-3200mhz-8gb-desktop-ram.webp,OCPC X3 RGB DDR4 3200MHz 8GB Desktop RAM,Buy OCPC X3 RGB DDR4 3200MHz 8GB Desktop RAM in Bangladesh | LogicBay BD,OCPC X3 RGB DDR4 3200MHz 8GB Desktop RAM. Check price and warranty at LogicBay BD.,"desktop ram, ocpc, ddr4, 8gb, 3200 mhz",https://www.startech.com.bd/ocpc-x3-rgb-ddr4-3200mhz-8gb-ram,DDR4,3200 MHz,,8GB,,,,RGB RAM,Lifetime
