list_order,name,brand_slug,suggested_slug,suggested_sku,source_list_url,price,compareAtPrice,stock_decision,notes
1,Netac Basic DDR3 8GB 1600MHZ Desktop RAM,netac,netac-basic-ddr3-8gb-1600mhz-desktop-ram,RAM-NETAC-BASIC-8-1600,https://www.startech.com.bd/netac-basic-ddr3-8gb-1600mhz-desktop-ram,2800,3900,REVIEW,
2,Netac Basic 4GB DDR4 2666MHZ Desktop RAM,netac,netac-basic-4gb-ddr4-2666mhz-desktop-ram,RAM-NETAC-BASIC-4-2666,https://www.startech.com.bd/netac-basic-4gb-ddr4-2666mhz-desktop-ram,3900,3950,REVIEW,
3,Kimtigo WOLFRINE 8GB 3200MHz DDR4 UDIMM Desktop RAM White,kimtigo,kimtigo-wolfrine-8gb-3200mhz-ddr4-udimm-desktop-ram-white,RAM-KIMTIGO-WOLFRINE-8-3200-UDIMM-WHITE,https://www.startech.com.bd/kimtigo-wolfrine-8gb-3200mhz-ddr4-udimm-ram-white,6000,,REVIEW,
4,Netac Basic 8GB DDR4 2666MHZ Desktop RAM,netac,netac-basic-8gb-ddr4-2666mhz-desktop-ram,RAM-NETAC-BASIC-8-2666,https://www.startech.com.bd/netac-basic-8gb-ddr4-2666mhz-desktop-ram,6350,6600,REVIEW,
5,Netac Shadow III 8GB DDR4 3200MHz Desktop RAM,netac,netac-shadow-iii-8gb-ddr4-3200mhz-desktop-ram,RAM-NETAC-SHADOW-III-8-3200,https://www.startech.com.bd/netac-shadow-iii-8gb-ddr4-3200mhz-ram,6800,,REVIEW,
6,G.SKILL Aegis 8GB DDR4 3200Mhz Desktop RAM,g-skill,g-skill-aegis-8gb-ddr4-3200mhz-desktop-ram,RAM-GSKILL-G-SKILL-AEGIS-8-3200,https://www.startech.com.bd/g-skill-aegis-8gb-ddr4-3200mhz-desktop-ram,8000,,REVIEW,
7,Team T-Force VULCAN Z Red 8GB DDR4 3200MHz Desktop Gaming RAM,team,team-t-force-vulcan-z-red-8gb-ddr4-3200mhz-desktop-gaming-ram,RAM-TEAM-T-FORCE-VULCAN-Z-RED-8-3200-GAM,https://www.startech.com.bd/team-t-force-vulcan-z-red-8gb-ddr4-3200mhz-ram,8500,,REVIEW,
8,G.SKILL Value 8GB DDR4 2666Mhz Desktop RAM,g-skill,g-skill-value-8gb-ddr4-2666mhz-desktop-ram,RAM-GSKILL-G-SKILL-VALUE-8-2666,https://www.startech.com.bd/g-skill-value-8gb-ddr4-2666mhz-desktop-ram,7000,7500,REVIEW,
9,AITC Kingsman Innovator 8GB DDR4 3200MHz Desktop RAM Black,aitc,aitc-kingsman-innovator-8gb-ddr4-3200mhz-desktop-ram-black,RAM-AITC-KINGSMAN-INNOVATOR-8-3200-BLACK,https://www.startech.com.bd/aitc-kingsman-innovator-8gb-ddr4-3200mhz-ram,7500,,REVIEW,
10,G.Skill Trident Z 8GB DDR4 3200MHz Desktop RAM,g-skill,g-skill-trident-z-8gb-ddr4-3200mhz-desktop-ram,RAM-GSKILL-G-SKILL-TRIDENT-Z-8-3200,https://www.startech.com.bd/g-skill-trident-z-8gb-ram,8700,,REVIEW,
