stock_decision,name,slug,sku,brand_slug,category_slug,shortDescription,description,price,compareAtPrice,costPrice,stockStatus,stockQuantity,lowStockAlert,isFeatured,isActive,image_url,image_alt,metaTitle,metaDescription,metaKeywords,source_list_url,memory_size,memory_type,engine_clock,memory_clock,resolution,gpu_chipset,chipset_series,pci_express,port_types,warranty
STOCK,AFOX NVIDIA GeForce GT 240 1GB GDDR3 Graphics Card,afox-nvidia-geforce-gt-240-1gb-gddr3-graphics-card,GPU-AFOX-GT-240-1GB-GDDR3,afox,nvidia,"Video Memory: 1024MB GDDR3 • Engine Clock: 550 MHz, Memory Clock: 1400 MHz • Resolution: 2560 x 1600 • Interface: 1 x DVI, 1 x HDMI, 1 x D-Sub",,5000,,,IN_STOCK,0,5,false,true,/uploads/gpus/afox-nvidia-geforce-gt-240-1gb-gddr3-graphics-card.jpg,AFOX NVIDIA GeForce GT 240 1GB GDDR3 Graphics Card,Buy AFOX NVIDIA GeForce GT 240 1GB GDDR3 Graphics Card in Bangladesh | LogicBay BD,AFOX NVIDIA GeForce GT 240 1GB GDDR3 Graphics Card. Check price and warranty at LogicBay BD.,"graphics card, afox, nvidia geforce, 1gb",https://www.startech.com.bd/afox-gt-240-1gb-graphics-card,1GB,GDDR3,550 MHz,1400 MHz,2560 x 1600,NVIDIA GeForce,,,"1 x DVI, 1 x HDMI, 1 x D-Sub",3 Years
STOCK,AFOX NVIDIA GeForce GT 610 2GB GDDR3 Graphics Card,afox-nvidia-geforce-gt-610-2gb-gddr3-graphics-card,GPU-AFOX-GT-610-2GB-GDDR3,afox,nvidia,"Video Memory: 2048MB GDDR3 • Engine Clock: 810 MHz, Memory Clock: 1333 MHz • Resolution: 2560 x 1600 • Interface: 1 x DVI, 1 x HDMI, 1 x D-Sub",,5500,,,IN_STOCK,0,5,false,true,/uploads/gpus/afox-nvidia-geforce-gt-610-2gb-gddr3-graphics-card.jpg,AFOX NVIDIA GeForce GT 610 2GB GDDR3 Graphics Card,Buy AFOX NVIDIA GeForce GT 610 2GB GDDR3 Graphics Card in Bangladesh | LogicBay BD,AFOX NVIDIA GeForce GT 610 2GB GDDR3 Graphics Card. Check price and warranty at LogicBay BD.,"graphics card, afox, nvidia geforce, 2gb",https://www.startech.com.bd/afox-gt-610-2gb-graphics-card,2GB,GDDR3,810 MHz,1333 MHz,2560 x 1600,NVIDIA GeForce,GT 700,,"1 x DVI, 1 x HDMI, 1 x D-Sub",3 Years
STOCK,PELADN GeForce KaiTian GT 730 4GB GDDR3 Graphics Card,peladn-geforce-kaitian-gt-730-4gb-gddr3-graphics-card,GPU-PELADN-KAITIAN-GT-730-4GB-GDDR3,peladn,nvidia,Video Memory: 4GB GDDR3 • CUDA Cores: 192 • Memory Clock Speed: 902 MHz • Memory Frequency: 1300 MHz,,5999,,,IN_STOCK,0,5,false,true,/uploads/gpus/peladn-geforce-kaitian-gt-730-4gb-gddr3-graphics-card.jpg,PELADN GeForce KaiTian GT 730 4GB GDDR3 Graphics Card,Buy PELADN GeForce KaiTian GT 730 4GB GDDR3 Graphics Card in Bangladesh | LogicBay BD,PELADN GeForce KaiTian GT 730 4GB GDDR3 Graphics Card. Check price and warranty at LogicBay BD.,"graphics card, peladn, nvidia geforce, 4gb",https://www.startech.com.bd/peladn-geforce-kaitian-gt-730-4gd3-graphics-card,4GB,GDDR3,,,,NVIDIA GeForce,GT 700,,,3 Years
STOCK,Colorful GeForce GT710-2GD3-V 2GB Graphics Card,colorful-geforce-gt710-2gd3-v-2gb-graphics-card,GPU-COLORFUL-GT710-2GD3-V-2GB,colorful,nvidia,Single Fan • No Power Supply • Powered by GeForce GT710 • Integrated with 2GB GDDR5 64-bit,,6500,,,IN_STOCK,0,5,false,true,/uploads/gpus/colorful-geforce-gt710-2gd3-v-2gb-graphics-card.jpg,Colorful GeForce GT710-2GD3-V 2GB Graphics Card,Buy Colorful GeForce GT710-2GD3-V 2GB Graphics Card in Bangladesh | LogicBay BD,Colorful GeForce GT710-2GD3-V 2GB Graphics Card. Check price and warranty at LogicBay BD.,"graphics card, colorful, nvidia geforce, 2gb",https://www.startech.com.bd/colorful-geforce-gt710-2gd3-v-graphics-card,2GB,GDDR5,,,,NVIDIA GeForce,GT 700,,,3 Years
STOCK,AFOX NVIDIA GeForce GT 710 2GB GDDR3 Graphics Card,afox-nvidia-geforce-gt-710-2gb-gddr3-graphics-card,GPU-AFOX-GT-710-2GB-GDDR3,afox,nvidia,"Video Memory: 2048MB GDDR3 • Base Clock: 954 MHz, Memory Clock: 1333 MHz • Resolution: 2048 x1536 • Interface: 1 x DVI, 1 x HDMI, 1 x D-Sub",,6500,,,IN_STOCK,0,5,false,true,/uploads/gpus/afox-nvidia-geforce-gt-710-2gb-gddr3-graphics-card.jpg,AFOX NVIDIA GeForce GT 710 2GB GDDR3 Graphics Card,Buy AFOX NVIDIA GeForce GT 710 2GB GDDR3 Graphics Card in Bangladesh | LogicBay BD,AFOX NVIDIA GeForce GT 710 2GB GDDR3 Graphics Card. Check price and warranty at LogicBay BD.,"graphics card, afox, nvidia geforce, 2gb",https://www.startech.com.bd/afox-gt-710-2gb-graphics-card,2GB,GDDR3,,1333 MHz,2048 x1536,NVIDIA GeForce,GT 700,,"1 x DVI, 1 x HDMI, 1 x D-Sub",3 Years
STOCK,ASUS GeForce GT 710 2GB GDDR5 EVO Low-profile Graphics Card,asus-geforce-gt-710-2gb-gddr5-evo-low-profile-graphics-card,GPU-ASUS-GT-710-2GB-GDDR5-EVO-LOW-PROFIL,asus,nvidia,"Engine Clock: 954 MHz • Memory: 2GB GDDR5 • Memory Speed: 5012 MHz • Output: 1x HDMI2.0b, 1x Native DVI-D",,8400,8500,,IN_STOCK,0,5,false,true,/uploads/gpus/asus-geforce-gt-710-2gb-gddr5-evo-low-profile-graphics-card.jpg,ASUS GeForce GT 710 2GB GDDR5 EVO Low-profile Graphics Card,Buy ASUS GeForce GT 710 2GB GDDR5 EVO Low-profile Graphics Card in Bangladesh | LogicBay BD,ASUS GeForce GT 710 2GB GDDR5 EVO Low-profile Graphics Card. Check price and warranty at LogicBay BD.,"graphics card, asus, nvidia geforce, 7102gb",https://www.startech.com.bd/asus-geforce-gt-710-2gb-gddr5-evo-low-profile-graphics-card,7102GB,GDDR5,954 MHz,,,NVIDIA GeForce,GT 700,,,3 Years
STOCK,OCPC GeForce GT 730 4GB DDR3 Graphics Card,ocpc-geforce-gt-730-4gb-ddr3-graphics-card,GPU-OCPC-GT-730-4GB-DDR3,ocpc,nvidia,"Boost Clock: 700 MHz, Base Clock: 700 MHz • CUDA cores: 384, Memory Interface: 128-bit • Width: Single Slot • Outputs: 1x HDMI, 1x DVI, 1x VGA",,8100,,,IN_STOCK,0,5,false,true,/uploads/gpus/ocpc-geforce-gt-730-4gb-ddr3-graphics-card.jpg,OCPC GeForce GT 730 4GB DDR3 Graphics Card,Buy OCPC GeForce GT 730 4GB DDR3 Graphics Card in Bangladesh | LogicBay BD,OCPC GeForce GT 730 4GB DDR3 Graphics Card. Check price and warranty at LogicBay BD.,"graphics card, ocpc, nvidia geforce, 7304gb",https://www.startech.com.bd/ocpc-geforce-gt-730-4gb-graphics-card,7304GB,GDDR3,,,,NVIDIA GeForce,GT 700,,128-bit,3 Years
STOCK,AFOX NVIDIA GeForce GT 710 4GB GDDR3 Graphics Card,afox-nvidia-geforce-gt-710-4gb-gddr3-graphics-card,GPU-AFOX-GT-710-4GB-GDDR3,afox,nvidia,"Video Memory: 4096MB GDDR3 • Base Clock: 954 MHz, Memory Clock: 1600MHz • Resolution: 2048 x1536 • Interface: 1 x DVI, 1 x HDMI, 1 x D-Sub",,8500,,,IN_STOCK,0,5,false,true,/uploads/gpus/afox-nvidia-geforce-gt-710-4gb-gddr3-graphics-card.jpg,AFOX NVIDIA GeForce GT 710 4GB GDDR3 Graphics Card,Buy AFOX NVIDIA GeForce GT 710 4GB GDDR3 Graphics Card in Bangladesh | LogicBay BD,AFOX NVIDIA GeForce GT 710 4GB GDDR3 Graphics Card. Check price and warranty at LogicBay BD.,"graphics card, afox, nvidia geforce, 4gb",https://www.startech.com.bd/afox-gt-710-4gb-graphics-card,4GB,GDDR3,,1600MHz,2048 x1536,NVIDIA GeForce,GT 700,,"1 x DVI, 1 x HDMI, 1 x D-Sub",3 Years
STOCK,MSI GT 710 2GD3H LP 2GB DDR3 Gaming Graphic Card,msi-gt-710-2gd3h-lp-2gb-ddr3-gaming-graphic-card,GPU-MSI-GT-710-2GD3H-LP-2GB-DDR3-GAMING,msi,nvidia,Boost Clock: 1600 MHz • D-Sub x 1/ HDMI x 1/ DL-DVI-D x 1 • Predator: In-game video recording • Lower temperature and higher efficiency,,9100,9300,,IN_STOCK,0,5,false,true,/uploads/gpus/msi-gt-710-2gd3h-lp-2gb-ddr3-gaming-graphic-card.jpg,MSI GT 710 2GD3H LP 2GB DDR3 Gaming Graphic Card,Buy MSI GT 710 2GD3H LP 2GB DDR3 Gaming Graphic Card in Bangladesh | LogicBay BD,MSI GT 710 2GD3H LP 2GB DDR3 Gaming Graphic Card. Check price and warranty at LogicBay BD.,"graphics card, msi, nvidia geforce, 2gb",https://www.startech.com.bd/msi-gt-710-2gd3h-lp-graphics-card,2GB,GDDR3,,,,NVIDIA GeForce,GT 700,,,3 Years
STOCK,AFOX Radeon R7 350 2GB GDDR5 Single Fan Graphics Card,afox-radeon-r7-350-2gb-gddr5-single-fan-graphics-card,GPU-AFOX-R7-350-2GB-GDDR5-SINGLE-FAN,afox,amd-gpu,"Video Memory: 2GB GDDR5 • Engine Clock: 800 MHz • Resolution: 2560 x 1600 • Port: 1 x DVI, 1 x VGA, 1 x HDMI",,9700,,,IN_STOCK,0,5,false,true,/uploads/gpus/afox-radeon-r7-350-2gb-gddr5-single-fan-graphics-card.jpg,AFOX Radeon R7 350 2GB GDDR5 Single Fan Graphics Card,Buy AFOX Radeon R7 350 2GB GDDR5 Single Fan Graphics Card in Bangladesh | LogicBay BD,AFOX Radeon R7 350 2GB GDDR5 Single Fan Graphics Card. Check price and warranty at LogicBay BD.,"graphics card, afox, amd radeon, 2gb",https://www.startech.com.bd/afox-radeon-r7-350-2gb-graphics-card,2GB,GDDR5,800 MHz,,2560 x 1600,AMD Radeon,RX 500,,,3 Years
