stock_decision,name,slug,sku,brand_slug,category_slug,processor_type,shortDescription,description,price,compareAtPrice,costPrice,stockStatus,stockQuantity,lowStockAlert,isFeatured,isActive,image_url,image_alt,metaTitle,metaDescription,metaKeywords,source_list_url,supported_cpu,chipset,memory_size,memory_type,storage_slots,graphics,audio,ports_connectors,special_features,form_factor,expansion_slots,warranty
STOCK,MSI PRO H610M-E DDR4 mATX Motherboard,msi-pro-h610m-e-ddr4-matx-motherboard,MB-MSI-PRO-H610M-E,msi-intel,intel-motherboard,Intel,MSI PRO H610M-E DDR4 mATX Motherboard - fill your own short pitch before publish.,,9900,10000,,IN_STOCK,0,5,false,true,/uploads/motherboards/placeholder.jpg,MSI PRO H610M-E DDR4 mATX Motherboard,Buy MSI PRO H610M-E DDR4 mATX Motherboard in Bangladesh | LogicBay BD,MSI PRO H610M-E DDR4 mATX Motherboard. Check price and warranty at LogicBay BD.,motherboard msi msi pro h610m-e ddr4 matx motherboard,https://www.startech.com.bd/msi-pro-h610m-e-ddr4-motherboard,,,,DDR4,,,,,,Micro ATX,,3 Years
STOCK,MSI PRO H610M-G DDR4 Micro-ATX Motherboard,msi-pro-h610m-g-ddr4-micro-atx-motherboard,MB-MSI-PRO-H610M-G,msi-intel,intel-motherboard,Intel,MSI PRO H610M-G DDR4 Micro-ATX Motherboard - fill your own short pitch before publish.,,10600,10900,,IN_STOCK,0,5,false,true,/uploads/motherboards/placeholder.jpg,MSI PRO H610M-G DDR4 Micro-ATX Motherboard,Buy MSI PRO H610M-G DDR4 Micro-ATX Motherboard in Bangladesh | LogicBay BD,MSI PRO H610M-G DDR4 Micro-ATX Motherboard. Check price and warranty at LogicBay BD.,motherboard msi msi pro h610m-g ddr4 micro-atx motherboard,https://www.startech.com.bd/msi-pro-h610m-g-ddr4-motherboard,,,,DDR4,,,,,,Micro ATX,,3 Years
STOCK,MSI PRO H610M-G DDR5 mATX Motherboard,msi-pro-h610m-g-ddr5-matx-motherboard,MB-MSI-PRO-H610M-G-2,msi-intel,intel-motherboard,Intel,MSI PRO H610M-G DDR5 mATX Motherboard - fill your own short pitch before publish.,,10800,11000,,IN_STOCK,0,5,false,true,/uploads/motherboards/placeholder.jpg,MSI PRO H610M-G DDR5 mATX Motherboard,Buy MSI PRO H610M-G DDR5 mATX Motherboard in Bangladesh | LogicBay BD,MSI PRO H610M-G DDR5 mATX Motherboard. Check price and warranty at LogicBay BD.,motherboard msi msi pro h610m-g ddr5 matx motherboard,https://www.startech.com.bd/msi-pro-h610m-g-ddr5-motherboard,,,,DDR5,,,,,,Micro ATX,,3 Years
STOCK,MSI PRO A620M-E AMD AM5 mATX Motherboard,msi-pro-a620m-e-amd-am5-matx-motherboard,MB-MSI-PRO-A620M-E-AM5,msi-amd,amd-motherboard,AMD,MSI PRO A620M-E AMD AM5 mATX Motherboard - fill your own short pitch before publish.,,10000,11500,,IN_STOCK,0,5,false,true,/uploads/motherboards/placeholder.jpg,MSI PRO A620M-E AMD AM5 mATX Motherboard,Buy MSI PRO A620M-E AMD AM5 mATX Motherboard in Bangladesh | LogicBay BD,MSI PRO A620M-E AMD AM5 mATX Motherboard. Check price and warranty at LogicBay BD.,motherboard msi msi pro a620m-e amd am5 matx motherboard,https://www.startech.com.bd/msi-pro-a620m-e-motherboard,,,,,,,,,,Micro ATX,,3 Years
STOCK,MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard,msi-a520m-a-pro-am4-amd-micro-atx-motherboard,MB-MSI-A520M-A-PRO-AM4,msi-amd,amd-motherboard,AMD,MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard - fill your own short pitch before publish.,,7200,8300,,IN_STOCK,0,5,false,true,/uploads/motherboards/placeholder.jpg,MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard,Buy MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard in Bangladesh | LogicBay BD,MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard. Check price and warranty at LogicBay BD.,motherboard msi msi a520m-a pro am4 amd micro-atx motherboard,https://www.startech.com.bd/msi-a520m-a-pro-motherboard,,,,,,,,,,Micro ATX,,3 Years
STOCK,MSI B550M-A PRO DDR4 AMD AM4 Micro ATX Motherboard,msi-b550m-a-pro-ddr4-amd-am4-micro-atx-motherboard,MB-MSI-B550M-A-PRO-AM4,msi-amd,amd-motherboard,AMD,MSI B550M-A PRO DDR4 AMD AM4 Micro ATX Motherboard - fill your own short pitch before publish.,,10500,10800,,IN_STOCK,0,5,false,true,/uploads/motherboards/placeholder.jpg,MSI B550M-A PRO DDR4 AMD AM4 Micro ATX Motherboard,Buy MSI B550M-A PRO DDR4 AMD AM4 Micro ATX Motherboard in Bangladesh | LogicBay BD,MSI B550M-A PRO DDR4 AMD AM4 Micro ATX Motherboard. Check price and warranty at LogicBay BD.,motherboard msi msi b550m-a pro ddr4 amd am4 micro atx motherboard,https://www.startech.com.bd/msi-b550m-a-pro-micro-atx-amd-motherboard,,,,DDR4,,,,,,Micro ATX,,3 Years
STOCK,Asus PRIME A520M-R AM4 micro ATX Motherboard,asus-prime-a520m-r-am4-micro-atx-motherboard,MB-ASUS-PRIME-A520M-R-AM4,asus-amd,amd-motherboard,AMD,Asus PRIME A520M-R AM4 micro ATX Motherboard - fill your own short pitch before publish.,,8700,,,IN_STOCK,0,5,false,true,/uploads/motherboards/placeholder.jpg,Asus PRIME A520M-R AM4 micro ATX Motherboard,Buy Asus PRIME A520M-R AM4 micro ATX Motherboard in Bangladesh | LogicBay BD,Asus PRIME A520M-R AM4 micro ATX Motherboard. Check price and warranty at LogicBay BD.,motherboard asus asus prime a520m-r am4 micro atx motherboard,https://www.startech.com.bd/asus-prime-a520m-r-motherboard,,,,,,,,,,Micro ATX,,3 Years
STOCK,Asus Prime A520M-K AM4 Micro-ATX AMD Motherboard,asus-prime-a520m-k-am4-micro-atx-amd-motherboard,MB-ASUS-PRIME-A520M-K-AM4,asus-amd,amd-motherboard,AMD,Asus Prime A520M-K AM4 Micro-ATX AMD Motherboard - fill your own short pitch before publish.,,9000,9900,,IN_STOCK,0,5,false,true,/uploads/motherboards/placeholder.jpg,Asus Prime A520M-K AM4 Micro-ATX AMD Motherboard,Buy Asus Prime A520M-K AM4 Micro-ATX AMD Motherboard in Bangladesh | LogicBay BD,Asus Prime A520M-K AM4 Micro-ATX AMD Motherboard. Check price and warranty at LogicBay BD.,motherboard asus asus prime a520m-k am4 micro-atx amd motherboard,https://www.startech.com.bd/asus-prime-a520m-k-amd-motherboard,,,,,,,,,,Micro ATX,,3 Years
STOCK,ASUS PRIME H610M-F D4 R2.0 DDR4 LGA1700 mATX Motherboard,asus-prime-h610m-f-d4-r2-0-ddr4-lga1700-matx-motherboard,MB-ASUS-PRIME-H610M-F-D4-R2-0-LGA1700,asus-intel,intel-motherboard,Intel,ASUS PRIME H610M-F D4 R2.0 DDR4 LGA1700 mATX Motherboard - fill your own short pitch before publish.,,10300,10500,,IN_STOCK,0,5,false,true,/uploads/motherboards/placeholder.jpg,ASUS PRIME H610M-F D4 R2.0 DDR4 LGA1700 mATX Motherboard,Buy ASUS PRIME H610M-F D4 R2.0 DDR4 LGA1700 mATX Motherboard in Bangladesh | LogicBay BD,ASUS PRIME H610M-F D4 R2.0 DDR4 LGA1700 mATX Motherboard. Check price and warranty at LogicBay BD.,motherboard asus asus prime h610m-f d4 r2.0 ddr4 lga1700 matx motherboard,https://www.startech.com.bd/asus-prime-h610m-f-d4-r2-0-lga1700-motherboard,,,,DDR4,,,,,,Micro ATX,,3 Years
STOCK,ASUS PRIME H610M-R D4 DDR4 LGA1700 mATX Motherboard,asus-prime-h610m-r-d4-ddr4-lga1700-matx-motherboard,MB-ASUS-PRIME-H610M-R-D4-LGA1700,asus-intel,intel-motherboard,Intel,ASUS PRIME H610M-R D4 DDR4 LGA1700 mATX Motherboard - fill your own short pitch before publish.,,10400,10500,,IN_STOCK,0,5,false,true,/uploads/motherboards/placeholder.jpg,ASUS PRIME H610M-R D4 DDR4 LGA1700 mATX Motherboard,Buy ASUS PRIME H610M-R D4 DDR4 LGA1700 mATX Motherboard in Bangladesh | LogicBay BD,ASUS PRIME H610M-R D4 DDR4 LGA1700 mATX Motherboard. Check price and warranty at LogicBay BD.,motherboard asus asus prime h610m-r d4 ddr4 lga1700 matx motherboard,https://www.startech.com.bd/asus-prime-h610m-r-d4-motherboard,,,,DDR4,,,,,,Micro ATX,,3 Years
