stock_decision,name,slug,sku,brand_slug,category_slug,processor_type,shortDescription,description,price,compareAtPrice,costPrice,stockStatus,stockQuantity,lowStockAlert,isFeatured,isActive,image_url,image_alt,metaTitle,metaDescription,metaKeywords,source_list_url,supported_cpu,chipset,memory_size,memory_type,storage_slots,graphics,audio,ports_connectors,special_features,form_factor,expansion_slots,warranty
STOCK,MSI PRO H610M-E DDR4 mATX Motherboard,msi-pro-h610m-e-ddr4-matx-motherboard,MB-MSI-PRO-H610M-E,msi-intel,intel-motherboard,Intel,Entry mATX H610 board for LGA1700 with DDR4 dual-channel memory.,"MSI PRO H610M-E DDR4 is a Micro-ATX motherboard for Intel 12th–14th Gen LGA1700 CPUs. It uses the Intel H610 chipset, two DDR4 DIMMs up to 64GB, one M.2 slot, HDMI + VGA display outputs, and Realtek ALC897 audio. Suited for office and budget builds.",9900,10000,9800,IN_STOCK,12,5,false,true,/uploads/motherboards/msi-pro-h610m-e-ddr4-matx-motherboard.jpg,MSI PRO H610M-E DDR4 mATX Motherboard,Buy MSI PRO H610M-E DDR4 mATX Motherboard in Bangladesh | LogicBay BD,"MSI PRO H610M-E DDR4 mATX Motherboard — Intel H610, DDR4, Micro ATX. Price ৳11500. Warranty 3 Years.","motherboard, msi-intel, Intel H610, DDR4, LogicBay BD",https://www.startech.com.bd/msi-pro-h610m-e-ddr4-motherboard,"Intel Core 14th/13th/12th Gen, Pentium Gold, Celeron (LGA1700)",Intel H610,64GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x VGA",Realtek ALC897 7.1 HD Audio,"Rear: HDMI, VGA, 2x USB 3.2 Gen1, 4x USB 2.0, Realtek 1GbE LAN, audio jacks, PS/2 | Internal: USB headers, TPM header","PCIe Steel Armor, EZ Debug LED, Core Boost",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe 3.0 x1 | 1x M.2 Key-M (PCIe 3.0 x4),3 Years
STOCK,MSI PRO H610M-G DDR4 Micro-ATX Motherboard,msi-pro-h610m-g-ddr4-micro-atx-motherboard,MB-MSI-PRO-H610M-G,msi-intel,intel-motherboard,Intel,"H610 mATX with HDMI, DisplayPort and VGA for flexible displays.",MSI PRO H610M-G DDR4 supports Intel LGA1700 processors with H610 chipset and dual-channel DDR4 (up to 64GB). Extra rear video ports make it useful for multi-monitor office PCs. Includes M.2 storage and Realtek gigabit LAN.,10600,10900,10400,IN_STOCK,10,5,false,true,/uploads/motherboards/msi-pro-h610m-g-ddr4-micro-atx-motherboard.jpg,MSI PRO H610M-G DDR4 Micro-ATX Motherboard,Buy MSI PRO H610M-G DDR4 Micro-ATX Motherboard in Bangladesh | LogicBay BD,"MSI PRO H610M-G DDR4 Micro-ATX Motherboard — Intel H610, DDR4, Micro ATX. Price ৳12200. Warranty 3 Years.","motherboard, msi-intel, Intel H610, DDR4, LogicBay BD",https://www.startech.com.bd/msi-pro-h610m-g-ddr4-motherboard,"Intel Core 14th/13th/12th Gen, Pentium Gold, Celeron (LGA1700)",Intel H610,64GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x DisplayPort, 1x VGA",Realtek ALC897 7.1 HD Audio,"Rear: HDMI, DP, VGA, USB 3.2 Gen1, USB 2.0, Realtek 1GbE LAN, audio | Internal: USB / front panel / TPM headers","Multi-display outputs, Steel Armor PCIe slot",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe 3.0 x1 | 1x M.2 Key-M,3 Years
STOCK,MSI PRO H610M-G DDR5 mATX Motherboard,msi-pro-h610m-g-ddr5-matx-motherboard,MB-MSI-PRO-H610M-G-2,msi-intel,intel-motherboard,Intel,LGA1700 H610 Micro-ATX board with dual-channel DDR5 memory.,"MSI PRO H610M-G DDR5 pairs Intel H610 with DDR5 DIMMs for newer memory kits on 12th–14th Gen CPUs. Micro-ATX layout, M.2 SSD slot, multi-display outputs, and Realtek audio/LAN for everyday builds.",10800,11000,11800,IN_STOCK,8,5,false,true,/uploads/motherboards/msi-pro-h610m-g-ddr5-matx-motherboard.jpg,MSI PRO H610M-G DDR5 mATX Motherboard,Buy MSI PRO H610M-G DDR5 mATX Motherboard in Bangladesh | LogicBay BD,"MSI PRO H610M-G DDR5 mATX Motherboard — Intel H610, DDR5, Micro ATX. Price ৳13800. Warranty 3 Years.","motherboard, msi-intel, Intel H610, DDR5, LogicBay BD",https://www.startech.com.bd/msi-pro-h610m-g-ddr5-motherboard,"Intel Core 14th/13th/12th Gen, Pentium Gold, Celeron (LGA1700)",Intel H610,96GB,DDR5,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x DisplayPort, 1x VGA",Realtek ALC897 7.1 HD Audio,"Rear: HDMI, DP, VGA, USB 3.2 Gen1, USB 2.0, 1GbE LAN, audio jacks | Internal: standard front-panel and USB headers","DDR5 dual-channel support, EZ Debug LED",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe 3.0 x1 | 1x M.2 Key-M,3 Years
STOCK,MSI PRO A620M-E AMD AM5 mATX Motherboard,msi-pro-a620m-e-amd-am5-matx-motherboard,MB-MSI-PRO-A620M-E-AM5,msi-amd,amd-motherboard,AMD,Affordable AM5 A620 board with DDR5 and Gen4 M.2.,"MSI PRO A620M-E supports Ryzen 7000/8000/9000 on AM5 with AMD A620 chipset. Two DDR5 DIMMs (up to 128GB per MSI current spec), PCIe 4.0 x16, Gen4 M.2, and Micro-ATX form factor for budget Ryzen systems.",10000,11500,12800,IN_STOCK,10,5,false,true,/uploads/motherboards/msi-pro-a620m-e-amd-am5-matx-motherboard.jpg,MSI PRO A620M-E AMD AM5 mATX Motherboard,Buy MSI PRO A620M-E AMD AM5 mATX Motherboard in Bangladesh | LogicBay BD,"MSI PRO A620M-E AMD AM5 mATX Motherboard — AMD A620, DDR5, Micro ATX. Price ৳14900. Warranty 3 Years.","motherboard, msi-amd, AMD A620, DDR5, LogicBay BD",https://www.startech.com.bd/msi-pro-a620m-e-motherboard,AMD Ryzen 9000/8000/7000 Series (Socket AM5),AMD A620,128GB,DDR5,1x M.2 Gen4 + 4x SATA 6Gb/s,"1x HDMI, 1x VGA",Realtek ALC897 7.1 HD Audio,"Rear: HDMI, VGA, USB 3.2 Gen1, USB 2.0, Realtek RTL8111H 1GbE, audio | Internal: USB headers, TPM header","AMD EXPO, Lightning Gen4 M.2, Steel Armor",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe 3.0 x1 | 1x M.2 PCIe 4.0 x4,3 Years
STOCK,MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard,msi-a520m-a-pro-am4-amd-micro-atx-motherboard,MB-MSI-A520M-A-PRO-AM4,msi-amd,amd-motherboard,AMD,Value AM4 A520 Micro-ATX motherboard with DDR4.,"MSI A520M-A PRO is an entry AM4 board for Ryzen 3000/5000 class CPUs. AMD A520 chipset, dual-channel DDR4, M.2 slot, and triple display outputs for budget AMD desktops.",7200,8300,8400,IN_STOCK,14,5,false,true,/uploads/motherboards/msi-a520m-a-pro-am4-amd-micro-atx-motherboard.jpg,MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard,Buy MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard in Bangladesh | LogicBay BD,"MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard — AMD A520, DDR4, Micro ATX. Price ৳9800. Warranty 3 Years.","motherboard, msi-amd, AMD A520, DDR4, LogicBay BD",https://www.startech.com.bd/msi-a520m-a-pro-motherboard,AMD Ryzen 5000/4000 G-Series/3000 Series (AM4),AMD A520,64GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x DVI-D, 1x VGA",Realtek ALC887/897 HD Audio,"Rear: HDMI, DVI-D, VGA, USB 3.2 Gen1, USB 2.0, Realtek LAN, audio | Internal: USB and front-panel headers","Core Boost, Audio Boost",Micro ATX,1x PCIe 3.0 x16 | 1x PCIe 3.0 x1 | 1x M.2 Key-M,3 Years
STOCK,MSI B550M-A PRO DDR4 AMD AM4 Micro ATX Motherboard,msi-b550m-a-pro-ddr4-amd-am4-micro-atx-motherboard,MB-MSI-B550M-A-PRO-AM4,msi-amd,amd-motherboard,AMD,B550 Micro-ATX with PCIe 4.0 and dual M.2 for AM4 Ryzen.,"MSI B550M-A PRO brings AMD B550 features to a compact board: PCIe 4.0 graphics lane, dual M.2 storage, DDR4 dual-channel memory, and HDMI/DP outputs for productive Ryzen AM4 builds.",10500,10800,12400,IN_STOCK,9,5,false,true,/uploads/motherboards/msi-b550m-a-pro-ddr4-amd-am4-micro-atx-motherboard.jpg,MSI B550M-A PRO DDR4 AMD AM4 Micro ATX Motherboard,Buy MSI B550M-A PRO DDR4 AMD AM4 Micro ATX Motherboard in Bangladesh | LogicBay BD,"MSI B550M-A PRO DDR4 AMD AM4 Micro ATX Motherboard — AMD B550, DDR4, Micro ATX. Price ৳14500. Warranty 3 Years.","motherboard, msi-amd, AMD B550, DDR4, LogicBay BD",https://www.startech.com.bd/msi-b550m-a-pro-micro-atx-amd-motherboard,AMD Ryzen 5000/4000 G-Series/3000 Series (AM4),AMD B550,128GB,DDR4,2x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x DisplayPort",Realtek ALC897 7.1 HD Audio,"Rear: HDMI, DP, USB 3.2 Gen1/Gen2, USB 2.0, Realtek 1GbE, audio | Internal: USB Type-C header (model dependent), RGB/fan headers","PCIe 4.0 ready, dual M.2, Lightning Gen4",Micro ATX,1x PCIe 4.0 x16 | 2x PCIe 3.0 x1 | 2x M.2 (1x Gen4 from CPU),3 Years
STOCK,Asus PRIME A520M-R AM4 micro ATX Motherboard,asus-prime-a520m-r-am4-micro-atx-motherboard,MB-ASUS-PRIME-A520M-R-AM4,asus-amd,amd-motherboard,AMD,ASUS PRIME A520M-R entry AM4 board with DDR4.,"ASUS PRIME A520M-R uses AMD A520 for Ryzen AM4 CPUs. Dual DDR4 DIMMs, M.2 NVMe support, HDMI/VGA video, and ASUS reliability features for home and office PCs.",8700,,7900,IN_STOCK,11,5,false,true,/uploads/motherboards/asus-prime-a520m-r-am4-micro-atx-motherboard.jpg,Asus PRIME A520M-R AM4 micro ATX Motherboard,Buy Asus PRIME A520M-R AM4 micro ATX Motherboard in Bangladesh | LogicBay BD,"Asus PRIME A520M-R AM4 micro ATX Motherboard — AMD A520, DDR4, Micro ATX. Price ৳9200. Warranty 3 Years.","motherboard, asus-amd, AMD A520, DDR4, LogicBay BD",https://www.startech.com.bd/asus-prime-a520m-r-motherboard,AMD Ryzen 5000/4000 G-Series/3000 Series (AM4),AMD A520,64GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x VGA",Realtek ALC887 HD Audio,"Rear: HDMI, VGA, USB 3.2 Gen1, USB 2.0, Realtek 1GbE, audio, PS/2 | Internal: USB 2.0/3.2 headers, COM, TPM","ASUS 5X Protection III, Fan Xpert",Micro ATX,1x PCIe 3.0 x16 | 1x PCIe 3.0 x1 | 1x M.2 Key-M,3 Years
STOCK,Asus Prime A520M-K AM4 Micro-ATX AMD Motherboard,asus-prime-a520m-k-am4-micro-atx-amd-motherboard,MB-ASUS-PRIME-A520M-K-AM4,asus-amd,amd-motherboard,AMD,PRIME A520M-K with triple display outputs for AM4.,"ASUS PRIME A520M-K is a Micro-ATX AMD A520 motherboard supporting Ryzen AM4 processors, dual-channel DDR4, M.2 storage, and HDMI/DVI/VGA for older monitors.",9000,9900,8100,IN_STOCK,12,5,false,true,/uploads/motherboards/asus-prime-a520m-k-am4-micro-atx-amd-motherboard.jpg,Asus Prime A520M-K AM4 Micro-ATX AMD Motherboard,Buy Asus Prime A520M-K AM4 Micro-ATX AMD Motherboard in Bangladesh | LogicBay BD,"Asus Prime A520M-K AM4 Micro-ATX AMD Motherboard — AMD A520, DDR4, Micro ATX. Price ৳9500. Warranty 3 Years.","motherboard, asus-amd, AMD A520, DDR4, LogicBay BD",https://www.startech.com.bd/asus-prime-a520m-k-amd-motherboard,AMD Ryzen 5000/4000 G-Series/3000 Series (AM4),AMD A520,64GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x DVI-D, 1x VGA",Realtek ALC887 HD Audio,"Rear: HDMI, DVI-D, VGA, USB 3.2 Gen1, USB 2.0, Realtek LAN, audio, PS/2 | Internal: USB headers, COM, TPM","ASUS 5X Protection III, Digi+ VRM",Micro ATX,1x PCIe 3.0 x16 | 2x PCIe 3.0 x1 | 1x M.2 Key-M,3 Years
STOCK,ASUS PRIME H610M-F D4 R2.0 DDR4 LGA1700 mATX Motherboard,asus-prime-h610m-f-d4-r2-0-ddr4-lga1700-matx-motherboard,MB-ASUS-PRIME-H610M-F-D4-R2-0-LGA1700,asus-intel,intel-motherboard,Intel,ASUS PRIME H610M-F D4 R2.0 for LGA1700 DDR4 builds.,"ASUS PRIME H610M-F D4 R2.0 is a compact H610 motherboard for 12th–14th Gen Intel CPUs with DDR4 memory, M.2 SSD, and HDMI/VGA outputs for everyday LogicBay systems.",10300,10500,9600,IN_STOCK,10,5,false,true,/uploads/motherboards/asus-prime-h610m-f-d4-r2-0-ddr4-lga1700-matx-motherboard.jpg,ASUS PRIME H610M-F D4 R2.0 DDR4 LGA1700 mATX Motherboard,Buy ASUS PRIME H610M-F D4 R2.0 DDR4 LGA1700 mATX Motherboard in Bangladesh | LogicBay BD,"ASUS PRIME H610M-F D4 R2.0 DDR4 LGA1700 mATX Motherboard — Intel H610, DDR4, Micro ATX. Price ৳11200. Warranty 3 Years.","motherboard, asus-intel, Intel H610, DDR4, LogicBay BD",https://www.startech.com.bd/asus-prime-h610m-f-d4-r2-0-lga1700-motherboard,"Intel Core 14th/13th/12th Gen, Pentium Gold, Celeron (LGA1700)",Intel H610,64GB,DDR4,1x M.2 + 2x SATA 6Gb/s,"1x HDMI, 1x VGA",Realtek ALC897 HD Audio,"Rear: HDMI, VGA, USB 3.2 Gen1, USB 2.0, Realtek 1GbE, audio | Internal: USB headers, front panel","ASUS 5X Protection III, Fan Xpert",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe 3.0 x1 | 1x M.2 PCIe 3.0 x4,3 Years
STOCK,ASUS PRIME H610M-R D4 DDR4 LGA1700 mATX Motherboard,asus-prime-h610m-r-d4-ddr4-lga1700-matx-motherboard,MB-ASUS-PRIME-H610M-R-D4-LGA1700,asus-intel,intel-motherboard,Intel,PRIME H610M-R D4 with triple video and four SATA ports.,"ASUS PRIME H610M-R D4 (official ASUS specs) supports LGA1700 Intel 12th–14th Gen CPUs, dual DDR4 up to 64GB, one M.2, four SATA ports, and HDMI/DVI-D/VGA rear video for versatile office PCs.",10400,10500,10100,IN_STOCK,11,5,false,true,/uploads/motherboards/asus-prime-h610m-r-d4-ddr4-lga1700-matx-motherboard.jpg,ASUS PRIME H610M-R D4 DDR4 LGA1700 mATX Motherboard,Buy ASUS PRIME H610M-R D4 DDR4 LGA1700 mATX Motherboard in Bangladesh | LogicBay BD,"ASUS PRIME H610M-R D4 DDR4 LGA1700 mATX Motherboard — Intel H610, DDR4, Micro ATX. Price ৳11800. Warranty 3 Years.","motherboard, asus-intel, Intel H610, DDR4, LogicBay BD",https://www.startech.com.bd/asus-prime-h610m-r-d4-motherboard,"Intel Core 14th/13th/12th Gen, Pentium Gold, Celeron (LGA1700)",Intel H610,64GB,DDR4,1x M.2 + 4x SATA 6Gb/s,"1x HDMI, 1x DVI-D, 1x VGA",Realtek ALC897 HD Audio,"Rear: HDMI, DVI-D, VGA, 2x USB 3.2 Gen1, 2x USB 2.0, Realtek 1GbE, 3x audio, PS/2 KB/Mouse | Internal: USB 3.2/2.0 headers, COM, LPT, TPM","ASUS 5X Protection III, Fan Xpert, Digi+ VRM",Micro ATX,1x PCIe 4.0 x16 | 1x PCIe 3.0 x1 | 1x M.2 Key-M PCIe 3.0 x4,3 Years
