list_order,name,brand_slug,processor_type,suggested_slug,suggested_sku,source_list_url,price,compareAtPrice,stock_decision,notes
1,XENTHRA XN-H81M-VH 4th Gen mATX Motherboard,xenthra,Intel,xenthra-xn-h81m-vh-4th-gen-matx-motherboard,MB-XENTHRA-XENTHRA-XN-H81M-VH-4TH-GEN,https://www.startech.com.bd/xenthra-xn-h81m-vh-motherboard,4200,4500,REVIEW,
2,XENTHRA XN-H311M-VH-PRO Intel 9th Gen mATX Motherboard,xenthra,Intel,xenthra-xn-h311m-vh-pro-intel-9th-gen-matx-motherboard,MB-XENTHRA-XENTHRA-XN-H311M-VH-PRO-9TH-GEN,https://www.startech.com.bd/xenthra-xn-h311m-vh-pro-motherboard,6550,6800,REVIEW,
3,ASRock A520M-HVS AMD AM4 Micro ATX Motherboard,asrock,AMD,asrock-a520m-hvs-amd-am4-micro-atx-motherboard,MB-ASROCK-ASROCK-A520M-HVS-AM4,https://www.startech.com.bd/asrock-a520m-hvs-motherboard,6800,7500,REVIEW,
4,XENTHRA XN-B450M-VH-PRO AMD AM4 mATX Motherboard,xenthra,AMD,xenthra-xn-b450m-vh-pro-amd-am4-matx-motherboard,MB-XENTHRA-XENTHRA-XN-B450M-VH-PRO-AM4,https://www.startech.com.bd/xenthra-xn-b450m-vh-pro-motherboard,7200,7600,REVIEW,
5,MSI A520M-A Pro AM4 AMD Micro-ATX Motherboard,msi,AMD,msi-a520m-a-pro-am4-amd-micro-atx-motherboard,MB-MSI-MSI-A520M-A-PRO-AM4,https://www.startech.com.bd/msi-a520m-a-pro-motherboard,7200,8300,REVIEW,
6,GIGABYTE A520M K V2 AM4 Micro ATX Motherboard,gigabyte,AMD,gigabyte-a520m-k-v2-am4-micro-atx-motherboard,MB-GIGABYTE-GIGABYTE-A520M-K-V2-AM4,https://www.startech.com.bd/gigabyte-a520m-k-v2-motherboard,8500,,REVIEW,
7,Asus PRIME A520M-R AM4 micro ATX Motherboard,asus,AMD,asus-prime-a520m-r-am4-micro-atx-motherboard,MB-ASUS-ASUS-PRIME-A520M-R-AM4,https://www.startech.com.bd/asus-prime-a520m-r-motherboard,8700,,REVIEW,
8,GIGABYTE B450M K AMD AM4 Micro ATX Motherboard,gigabyte,AMD,gigabyte-b450m-k-amd-am4-micro-atx-motherboard,MB-GIGABYTE-GIGABYTE-B450M-K-AM4,https://www.startech.com.bd/gigabyte-b450m-k-motherboard,8800,,REVIEW,
9,GIGABYTE GA-H81M-H 4th Gen Micro ATX Motherboard,gigabyte,Intel,gigabyte-ga-h81m-h-4th-gen-micro-atx-motherboard,MB-GIGABYTE-GIGABYTE-GA-H81M-H-4TH-GEN,https://www.startech.com.bd/gigabyte-ga-h81m-h-motherboard,8800,8900,REVIEW,
10,MSI H310M PRO-VDH Intel 9th Gen Motherboard,msi,Intel,msi-h310m-pro-vdh-intel-9th-gen-motherboard,MB-MSI-MSI-H310M-PRO-VDH-9TH-GEN,https://www.startech.com.bd/msi-h310m-pro-vdh-motherboard,8400,9000,REVIEW,
11,"ASROCK H610M-H2/M.2 14th, 13th and 12th Gen mATX DDR5 Motherboard",asrock,Intel,asrock-h610m-h2-m-2-14th-13th-and-12th-gen-matx-ddr5-motherboard,MB-ASROCK-ASROCK-H610M-H2-M-2-14TH-13TH-AND-12TH-G,https://www.startech.com.bd/asrock-h610m-h2-m2-motherboard,9100,,REVIEW,
12,Gigabyte H410M H 10th Gen Micro ATX Motherboard,gigabyte,Intel,gigabyte-h410m-h-10th-gen-micro-atx-motherboard,MB-GIGABYTE-GIGABYTE-H410M-H-10TH-GEN,https://www.startech.com.bd/gigabyte-h410m-h-motherboard,9200,,REVIEW,
13,Gigabyte GA-H110M-H Micro ATX Motherboard,gigabyte,Intel,gigabyte-ga-h110m-h-micro-atx-motherboard,MB-GIGABYTE-GIGABYTE-GA-H110M-H,https://www.startech.com.bd/gigabyte-ga-h110m-h-motherboard,9300,,REVIEW,
14,Gigabyte H310M M.2 9th Gen Micro ATX Motherboard,gigabyte,Intel,gigabyte-h310m-m-2-9th-gen-micro-atx-motherboard,MB-GIGABYTE-GIGABYTE-H310M-M-2-9TH-GEN,https://www.startech.com.bd/gigabyte-h310m-m2-motherboard,9500,9600,REVIEW,
15,MSI H410M A Pro Intel 10th Gen Micro-ATX Motherboard,msi,Intel,msi-h410m-a-pro-intel-10th-gen-micro-atx-motherboard,MB-MSI-MSI-H410M-A-PRO-10TH-GEN,https://www.startech.com.bd/msi-h410m-a-pro-motherboard,9400,9700,REVIEW,
16,Asus Prime A520M-K AM4 Micro-ATX AMD Motherboard,asus,AMD,asus-prime-a520m-k-am4-micro-atx-amd-motherboard,MB-ASUS-ASUS-PRIME-A520M-K-AM4,https://www.startech.com.bd/asus-prime-a520m-k-amd-motherboard,9000,9900,REVIEW,
17,MSI PRO H610M-E DDR4 mATX Motherboard,msi,Intel,msi-pro-h610m-e-ddr4-matx-motherboard,MB-MSI-MSI-PRO-H610M-E,https://www.startech.com.bd/msi-pro-h610m-e-ddr4-motherboard,9900,10000,REVIEW,
18,Colorful BATTLE-AX H610M-E WIFI V20 mATX Motherboard,colorful,Intel,colorful-battle-ax-h610m-e-wifi-v20-matx-motherboard,MB-COLORFUL-COLORFUL-BATTLE-AX-H610M-E-V20,https://www.startech.com.bd/colorful-battle-ax-h610m-e-wifi-v20-motherboard,10200,,REVIEW,
19,MSI PRO H610M-S DDR4 m-ATX Motherboard,msi,Intel,msi-pro-h610m-s-ddr4-m-atx-motherboard,MB-MSI-MSI-PRO-H610M-S-M,https://www.startech.com.bd/msi-pro-h610m-s-motherboard,9700,10200,REVIEW,
20,MSI PRO H610M-S DDR4 II mATX Motherboard,msi,Intel,msi-pro-h610m-s-ddr4-ii-matx-motherboard,MB-MSI-MSI-PRO-H610M-S-II,https://www.startech.com.bd/msi-pro-h610m-s-ddr4-ii-matx-motherboard,10200,,REVIEW,
21,Gigabyte A520M DS3H V2 Micro-ATX DDR4 AMD AM4 Motherboard,gigabyte,AMD,gigabyte-a520m-ds3h-v2-micro-atx-ddr4-amd-am4-motherboard,MB-GIGABYTE-GIGABYTE-A520M-DS3H-V2-AM4,https://www.startech.com.bd/gigabyte-a520m-ds3h-v2-motherboard,10000,10300,REVIEW,
22,GIGABYTE H610M K DDR4 Micro ATX Motherboard,gigabyte,Intel,gigabyte-h610m-k-ddr4-micro-atx-motherboard,MB-GIGABYTE-GIGABYTE-H610M-K,https://www.startech.com.bd/gigabyte-h610m-k-ddr4-motherboard,10500,,REVIEW,
23,ASUS PRIME H610M-F D4 R2.0 DDR4 LGA1700 mATX Motherboard,asus,Intel,asus-prime-h610m-f-d4-r2-0-ddr4-lga1700-matx-motherboard,MB-ASUS-ASUS-PRIME-H610M-F-D4-R2-0-LGA1700,https://www.startech.com.bd/asus-prime-h610m-f-d4-r2-0-lga1700-motherboard,10300,10500,REVIEW,
24,Gigabyte B450M DS3H V3 AMD AM4 Micro ATX Motherboard,gigabyte,AMD,gigabyte-b450m-ds3h-v3-amd-am4-micro-atx-motherboard,MB-GIGABYTE-GIGABYTE-B450M-DS3H-V3-AM4,https://www.startech.com.bd/gigabyte-b450m-ds3h-v3-motherboard,10000,10500,REVIEW,
25,ASUS PRIME H610M-R D4 DDR4 LGA1700 mATX Motherboard,asus,Intel,asus-prime-h610m-r-d4-ddr4-lga1700-matx-motherboard,MB-ASUS-ASUS-PRIME-H610M-R-D4-LGA1700,https://www.startech.com.bd/asus-prime-h610m-r-d4-motherboard,10400,10500,REVIEW,
